zh_ref,ru_ref,google_trans,NLBB_trans,GPT_translate
双方一致强调，将充分发挥圣彼得堡驻青岛商务信息中心的桥梁作用，推动两地贸易结构提质升级，并在教育、科技、文旅等领域探索创新合作模式。,"Стороны единодушно подчеркнули, что будут в полной мере использовать роль Информационного делового Центра Санкт-Петербурга в Циндао в качестве моста, способствующего повышению качества и модернизации структуры торговли между двумя странами, а также изучать инновационные формы сотрудничества в области образования, науки и техники, культуры и туризма.","Обе стороны единогласно подчеркнули, что будут в полной мере использовать связующую роль петербургского центра деловой информации в Циндао, способствовать совершенствованию структуры торговли между двумя городами, а также изучать инновационные модели сотрудничества в области образования, науки и технологий, культуры и туризма.","Обе стороны подчеркнули, что будут в полной мере использовать роль Торгового информационного центра Санкт-Петербурга в Циндао как моста для содействия повышению качества и модернизации торговых отношений между двумя городами, а также для поиска инновационных форм сотрудничества в области образования, науки, культуры и туризма.","Было подчеркнуто, что роль Санкт-Петербургского центра деловой информации будет в полной мере использована, что будет поощряться модернизация структуры торговли в обоих местах и что будут изучены инновационные модели сотрудничества в области образования, науки и техники, а также культурной бригады."
3月29日，“圣彼得堡-中国，文化对话”艺术节闭幕式在 “俄罗斯--我的历史”多媒体中心举办。罗占辉总领事、圣市外联委副主席马米舍夫、圣国际合作协会主席穆德拉克、俄和平基金会圣彼得堡分会主席科斯特金娜、圣立法会议议员谢尔盖耶娃等出席活动并致辞。,"29 марта в мультимедийном парке «Россия – Моя история» состоялась церемония закрытия фестиваля «Петербург - Китай. Диалог культур». На мероприятии присутствовали и выступили генеральный консул Ло Чжаньхуэй, заместитель председателя Комитета по внешним связям Санкт-Петербурга Мамишев, председатель Правления Межрегиональной ассоциации международного сотрудничества Мудрак, председатель Санкт-Петербургского отделения Российского Фонда мира Косткина, депутат Законодательного собрания Санкт-Петербурга Сергеева.","29 марта в Мультимедийном центре «Россия – Моя история» состоялась церемония закрытия фестиваля искусств «Санкт-Петербург-Китай. Культурный диалог». На мероприятии присутствовали и выступили с докладами генеральный консул Ло Чжаньхуэй, заместитель председателя Комитета по внешним связям Санкт-Петербурга Мамишев, председатель Санкт-Петербургской ассоциации международного сотрудничества Мудрак, председатель Санкт-Петербургского отделения Российского фонда мира Косткина, депутат Законодательного собрания Санкт-Петербурга Сергеева.","29 марта в мультимедийном центре ""Россия – моя история"" состоялось закрытие фестиваля ""Санкт-Петербург – Китай: культурный диалог"". В мероприятии приняли участие и выступили с приветственными словами генеральный консул Ло Чжаньхуэй, заместитель председателя Комитета по внешним связям Санкт-Петербурга Мамишев, председатель Ассоциации международного сотрудничества Санкт-Петербурга Мудрак, председатель петербургского отделения Фонда мира России Костекина и депутат Законодательного собрания Санкт-Петербурга Сергеева.","29 марта в мультимедийном центре «Россия – моя история» состоялась церемония закрытия фестиваля «Санкт-Петербург – Китай, культурный диалог». На мероприятии присутствовали и выступили Генеральный консул Рожашуй, Вице-президент Комиссии по пропаганде святилища, Мудрак, Президент Санкт-Петербурга, Президент Российского фонда мира, Косткина, Член Законодательного собрания Сент-Люсиана и др."
罗占辉总领事指出，在两国元首的战略引领下，中俄关系持续、健康、稳定发展。,"Генеральный консул Ло Чжаньхуэй отметил, что под стратегическим руководством глав государств двух стран китайско-российские отношения продолжают развиваться здоровым и стабильным образом.","Генеральный консул Ло Чжаньхуэй отметил, что под стратегическим руководством глав двух государств китайско-российские отношения продолжают развиваться здоровым и стабильным образом.","Генеральный консул Лу Чжаньхуэй отметил, что под стратегическим руководством глав государств двух стран, отношения между Китаем и Россией продолжают развиваться устойчиво, здорово и стабильно.","Генеральный консул Рожашуй отметил, что отношения между Россией и Китаем продолжают развиваться под стратегическим руководством двух глав государств."
作为“中俄文化年”框架下活动，本次艺术节为两国人民了解彼此文化，加深相互理解搭建了重要平台。,"Фестиваль, проводимый в рамках «Года культуры Китая и России», стал важной платформой для знакомства двух народов с культурой друг друга и углубления взаимопонимания.","Этот фестиваль искусств, проводимый в рамках «Года культуры Китая и России», создал важную платформу, позволяющую народам двух стран лучше понять культуру друг друга и углубить взаимопонимание.","В рамках ""Года культуры России и Китая"", данный фестиваль искусств стал важной платформой для того, чтобы народы обеих стран могли лучше узнать культуру друг друга и углубить взаимопонимание.","В рамках «Года культуры в Китае и России» этот фестиваль предоставляет важную площадку для народов двух стран, чтобы понять культуры друг друга и углубить их взаимопонимание."
闭幕式举办了圣市中国留学生才艺大赛，罗总领事为获奖学生颁发了证书和纪念品。“圣彼得堡-中国，文化对话”艺术节于2024年启动，艺术节期间举办了中国艺术展、儿童绘画比赛、摄影展、武术大师班等多项活动。,"В рамках церемонии закрытия прошел конкурс-концерт китайских студентов, обучающихся в вузах Санкт-Петербурга, победителям которого Генеральный консул вручил грамоты и сувениры. Фестиваль «Петербург - Китай. Диалог культур» стартовал в 2024 году, в рамках которого был проведен ряд мероприятий, в том числе выставки китайского искусства, конкурсы детского рисунка, фотовыставки, мастер-классы по ушуи др.","На церемонии закрытия в Сан-Франциско был проведен конкурс талантов для китайских иностранных студентов, и Генеральный консул Ло вручил сертификаты и сувениры студентам-победителям. Фестиваль искусств «Санкт-Петербург-Китай. Диалог культур» стартовал в 2024 году. В рамках фестиваля искусств было проведено множество мероприятий, таких как выставки китайского искусства, конкурсы детского рисунка, выставки фотографии, мастер-классы по боевым искусствам.","На церемонии закрытия состоялся конкурс талантов среди китайских студентов, обучающихся в городе Санкт-Петербург. Генеральный консул господин Ло вручил дипломы и сувениры победителям конкурса. Фестиваль искусств ""Санкт-Петербург – Китай: диалог культур"" стартовал в 2024 году. В рамках фестиваля были организованы различные мероприятия, включая выставку китайского искусства, конкурс детских рисунков, фотовыставку и мастер-классы по боевым искусствам.","На церемонии закрытия в городе прошел конкурс студенческих талантов, а Генеральный консул вручил награжденным студентам сертификаты и сувениры. В 2024 году стартовал фестиваль «Санкт-Петербург-Китай, культурный диалог», в ходе которого были проведены различные мероприятия, в том числе художественная выставка в Китае, конкурс детского рисунка, фотовыставка и мастер-класс по боевым искусствам."
4月1日至3日，罗占辉总领事率领区中资企业代表团访问摩尔曼斯克州，同摩州州长奇比思、工商会主席罗斯科娃、摩尔曼斯克北极国立大学校长沙德里娜、俄罗斯科学院摩尔曼斯克海洋生物研究所副所长莫伊谢耶夫、摩尔曼斯克海上渔港副董事长阿布罗西莫夫、摩尔曼斯克港商务董事雅科夫丘克举行会谈，就中国同摩州开展商务、北极、教育、科技、旅游等领域合作深入交换意见。,"С 1 по 3 апреля делегация Генерального консульства Китая в Санкт-Петербурге совместно с представителями китайских предприятий во главе с Генеральным консулом Ло Чжаньхуэем посетила Мурманскую область. Генеральный консул провел переговоры с губернатором Мурманской области А.В. Чибисом, президентом Торгово-промышленной палаты Т.В. Руссковой, ректором Мурманского арктического государственного университета И.М. Шадриной, заместителем ректора Мурманского морского биологического института РАН Д.В. Моисеевым, заместителем генерального директора Мурманского морского рыбного порта В.В. Абросимовым и коммерческим директором Мурманского морского торгового порта В.В. Яковчуком о сотрудничестве Китая и Мурманской области в сфере бизнеса, Арктики, образования, науки и техники, туризма и других областях.","С 1 по 3 апреля генеральный консул Ло Чжаньхуэй возглавил делегацию китайских предприятий округа с визитом в Мурманскую область. Они встретились с губернатором Мурманской области Чибиси, председателем Торгово-промышленной палаты Росковой, президентом Мурманского арктического государственного университета Шадриной, заместителем директора института Мурманской морской биологии РАН Моисеевым, заместителем председателя Мурманского морского рыбного порта Абросимовым и коммерческим директором Мурманского порта Яковчуком, провели переговоры с целью обмена углубленными мнениями о сотрудничестве Китая и Мурманска в сферах бизнеса, Арктики, образования, наука и техника, туризм и другие области.","С 1 по 3 апреля генеральный консул Ло Чжаньхуэй возглавил делегацию китайских компаний, работающих в регионе, с визитом в Мурманскую область. В ходе встреч с губернатором области Чибисом, председателем торгово-промышленной палаты Росковой, ректором Арктического государственного университета имени Мурманска Шадриной, заместителем директора Института морской биологии Российской академии наук Моисеевым, вице-президентом компании ""Мурманский рыбный порт"" Абросимовым и коммерческим директором порта Мурманск Яковчуком состоялись переговоры, в ходе которых стороны подробно обсудили возможности сотрудничества между Китаем и Мурманской областью в сферах бизнеса, Арктики, образования, науки и технологий, а также туризма.","С 1 по 3 апреля делегация Центральных предприятий во главе с генеральным консулом Рожамхуэй посетила государство Морманск для углубленного обмена мнениями о сотрудничестве Китая с государством в области торговли, Арктики, образования, науки и техники и туризма."
"罗占辉总领事在会谈和接受当地媒体采访时高度评价中俄关系和各领域合作成果,详细介绍了全国两会精神和2025民营企业座谈会，积极鼓励摩州各界参与到中俄务实合作中来，努力实现互利共赢，并实地考察摩尔曼斯克商港和渔港，推动双方企业建立联系，探讨合作。","В ходе переговоров и интервью местным СМИ Генеральный консул Ло Чжаньхуэй высоко оценил китайско-российские отношения и результаты сотрудничества в различных областях, подробно ознакомил с духом «Две сессии» и симпозиумом, посвященным негосударственным предприятиям в 2025 году, активно призвал все отрасли Мурманской области участвовать в китайско-российском сотрудничестве и стремиться к достижению взаимной выгоды и беспроигрышных результатов. Генеральный консул также посетил Мурманский торговый порт и рыбный порт, чтобы способствовать установлению двухсторонних контактов между предприятиями с целью изучения возможностей сотрудничества.",Генеральный консул Ло Чжаньхуэй в ходе переговоров и интервью местным СМИ высоко оценил китайско-российские отношения и достижения сотрудничества в различных областях. Он подробно представил дух двух национальных сессий и симпозиума частного предпринимательства 2025 года. Он активно призвал все слои общества Марокко участвовать в прагматическом сотрудничестве Китая и России и стремиться к достижению взаимной выгоды и взаимовыгодных результатов. Он также провел выездные проверки Мурманских торговых и рыбных портов с целью содействия предприятиям обеих сторон в установлении контактов и изучении возможностей сотрудничества.,"Генеральный консул Лао Чжаньхуэй в ходе встреч и интервью с местными СМИ высоко оценил отношения между Китаем и Россией, а также результаты сотрудничества в различных областях. Он подробно рассказал о духе Всекитайских народных собраний и конференции по вопросам развития частного сектора, состоявшейся в 2025 году, и призвал представителей всех слоев общества штата Миссури активно участвовать в практическом сотрудничестве между Китаем и Россией, стремясь к взаимовыгодному партнерству. Кроме того, он посетил коммерческий порт и рыбный порт Мурманска, способствовал установлению контактов между предприятиями обеих стран и обсудил возможности для сотрудничества.","В переговорах и интервью местным СМИ генеральный консул Рохас высоко оценил российско-китайские отношения и сотрудничество в различных областях. Он подробно рассказал о духе двух национальных встреч и симпозиума частного сектора 2025 года. Он активно поощрял различные сектора страны к участию в практическом российско-китайском сотрудничестве в стремлении добиться взаимовыгодной победы. Он также посетил порт Морманск и порт рыболовства, а также способствовал контактам и сотрудничеству между двумя предприятиями."
4月15日，罗占辉总领事应约会见俄罗斯国立师范大学主管外事工作副校长谢列梅特和主管综合事务副校长雷巴列次卡娅。,15 апреля Генеральный консул Китая в Санкт-Петербурге Ло Чжаньхуэй встретился с проректором по международной деятельности и интернационализации С.А. Шеремет и проректором по общим вопросам Т.Г. Рыборецкой Российского государственного педагогического университета им. А.И. Герцена.,15 апреля Генеральный консул Ло Чжаньхуэй по просьбе встретился с вице-президентом по международным делам Шереметом и вице-президентом по общим вопросам Рыбарецкой РГПУ.,"15 апреля консул Чжан Хуэй встретился с проректором по международным вопросам Российского государственного педагогического университета Шелеметом и проректором по общим вопросам Рейбальецкой, в соответствии с предварительной договоренностью.",15 апреля генеральный консул Роженхуэй должен встретиться с вице-канцлером по иностранным делам Российского государственного педагогического университета и вице-канцлером по комплексным услугам Ребалекой.
双方就改善中国留学生签证办理问题、提高语言教学水平、加强人才培养质量及增加对中国留学生人文关怀等问题深入交换意见。,"Стороны обменялись мнениями по вопросам улучшения процесса оформления виз для китайских студентов, совершенствования преподавания языков, повышения качества подготовки кадров и усиления поддержки китайских студентов.","Обе стороны обменялись углубленными мнениями по таким вопросам, как улучшение оформления виз для китайских иностранных студентов, повышение уровня преподавания языков, повышение качества подготовки талантов и усиление гуманистической заботы о китайских иностранных студентах.","Стороны провели углубленные обсуждения по вопросам улучшения процесса оформления виз для китайских студентов, повышения уровня преподавания языка, усиления качества подготовки кадров и оказания большего внимания к культурным потребностям китайских студентов.","Состоялся углубленный обмен мнениями по вопросам совершенствования обработки виз для китайских студентов, повышения уровня языкового обучения, повышения качества развития людских ресурсов и повышения уровня кадровой заботы о китайских студентах."
张晓庆副总领事、负责教育工作的领事马晓迪及领事随员邹嘉祺陪同出席。,"Генерального консула сопровождали Заместитель Генерального консула г-н Чжан Сяоцин, Консул по делам образования г-жа Ма Сяоди и Консульский атташе г-н Цзоу Цзяци.","На мероприятии присутствовали заместитель генерального консула Чжан Сяоцин, консул по образованию Ма Сяоди и консульский атташе Цзоу Цзяци.","В мероприятии также приняли участие заместитель консульского генерала Чжан Сяоцин, консул Ма Сяоди, отвечающая за вопросы образования, и ее помощник Цзоу Цзяци.","Сопровождались вице-консул Чжан Сяоцин, генеральный консул по вопросам образования и генеральный консул Цзоу Цзясюань."
4月17日，圣彼得堡国立航空航天仪器大学举办《国际合作新轨道》全俄学术研讨会。,17 апреля в Санкт-Петербургском государственном университете аэрокосмического приборостроения состоялась Всероссийская научная-практическая конференция «Новые арбиты международных связей».,17 апреля в Санкт-Петербургском государственном университете аэрокосмического приборостроения прошел всероссийский научный семинар «Новый трек международного сотрудничества».,"17 апреля в Санкт-Петербургском государственном университете аэрокосмических приборов состоялся Всероссийский научный семинар под названием ""Новые горизонты международного сотрудничества"".",17 апреля в Национальном университете аэрокосмического приборостроения Санкт-Петербурга состоялся всероссийский академический семинар на тему «Новые направления международного сотрудничества».
其间，我馆在该校成功举办“上合组织进校园”活动。,В это же время в стенах университета Генеральное консульство КНР в Санкт-Петербурге успешно организовало мероприятие «ШОС-to-campus».,За этот период наша библиотека успешно провела в школе мероприятие «ШОС приходит в кампус».,"В течение этого периода наш институт успешно провел мероприятие ""Шанхайская организация сотрудничества в университетах"" в данном учебном заведении.",Тем временем мы успешно запустили «США в кампус».
罗占辉总领事为参加研讨会的圣彼得堡国立大学、圣彼得堡国立经济大学、总统管理学院等5所大学百余名师生做了题为《中俄战略协作与上合组织的发展》的公开讲座。,"Генеральный консул Ло Чжаньхуэй прочитал публичную лекцию «Китайско-российское стратегическое сотрудничество и развитие ШОС» для более чем 100 студентов и преподавателей из пяти университетов, включая Санкт-Петербургский государственный университет, Санкт-Петербургский государственный экономический университет и РАНХиГС Санкт-Петербург, принявших участие в конференции.","Генеральный консул Ло Чжаньхуэй прочитал публичную лекцию на тему «Китайско-российское стратегическое сотрудничество и развитие ШОС» перед более чем 100 преподавателями и студентами пяти университетов, включая Санкт-Петербургский государственный университет, Санкт-Петербургский государственный экономический университет и Президентскую школу управления, принявших участие в семинаре.","Генеральный консул Ло Чжаньхуэй выступил с публичной лекцией на тему ""Китайско-российское стратегическое сотрудничество и развитие Шанхайской организации сотрудничества"" для более ста преподавателей и студентов из пяти университетов Санкт-Петербурга, включая Санкт-Петербургский государственный университет, Санкт-Петербургский государственный экономический университет и Президентскую академию управления.","Генеральный консул Ройанхуэй прочел публичную лекцию о развитии стратегического сотрудничества и совместной организации в Китае и России более 100 преподавателям и студентам из пяти университетов, участвующих в семинаре, а именно Санкт-Петербургского государственного университета, Санкт-Петербургского государственного экономического университета и Института администрации президента."
罗全面介绍了上海合作组织的发展历程及现状，强调，今年秋天，中国作为轮值主席国将在天津举办上合组织峰会，中方坚决践行习近平主席提出的“五个共同家园”目标、“新五观”等倡议，将在“弘扬‘上海精神'，上合组织在行动”的指引下，不断推动上合组织迈向高质量发展新阶段。,"Генеральный консул дал исчерпывающее представление об истории развития и текущей ситуации в ШОС, подчеркнув, что Китай в качестве ротационного председателя будет принимать саммит ШОС в Тяньцзине осенью этого года и продолжит решительно претворять в жизнь «Пять общих домов» и «Пять новых подходов», выдвинутые председателем Си Цзиньпином.","Ло подробно представил историю развития и нынешнюю ситуацию Шанхайской организации сотрудничества и подчеркнул, что этой осенью Китай, как председатель, проведет саммит ШОС в Тяньцзине. Китай будет решительно реализовывать цели «Пяти общих домов», «Новых пяти взглядов» и другие инициативы, предложенные председателем Си Цзиньпином, и продолжит продвигать ШОС на новый этап высококачественного развития под руководством «Продвижения «Шанхайского духа» и ШОС в действии».","Ро подробно рассказал об истории развития и текущем состоянии Шанхайской организации сотрудничества (ШОС), подчеркнув, что в этом году осенью Китай, выступая в качестве председательствующей страны, проведет саммит ШОС в Тяньцзине. Китайская сторона твердо привержена целям и инициативам, предложенным председателем Си Цзиньпином, таким как ""пять общих домов"" и ""новая концепция пяти перспектив"", и будет последовательно продвигать ШОС к новому этапу качественного развития, руководствуясь принципом ""пропагандировать дух Шанхая, ШОС действует"".","Он представил обзор истории и текущей ситуации Шанхайской организации сотрудничества (ШОС) и подчеркнул, что осенью этого года Китай в качестве действующего председателя организует саммит ШОС в Тяньцзине. Китай твердо привержен целям ""Пяти общих домов"" и ""Новых пяти перспектив"", предложенных президентом Си. Под руководством ""Шанхайского духа"" ШОС продолжит подталкивать ШОС к новому этапу качественного развития."
罗并与师生热烈互动。,"Руководствуясь «Продвижение Шанхайского духа: ШОС в действии», Китай продолжит продвигать ШОС к новому этапу высококачественного развития.",Ло Бин с энтузиазмом общался с учителями и учениками.,Ро активно взаимодействовал с преподавателями и студентами.,"Ро, учитель и ученик."
4月22日，俄罗斯国立师范大学举办纪念伟大卫国战争胜利80周年音乐会。,"22 апреля в Российском государственном педагогическом университете состоялся концерт, посвященный 80-летию победы в Великой Отечественной войне.","22 апреля в Российском государственном педагогическом университете состоялся концерт, посвященный 80-летию победы в Великой Отечественной войне.","22 апреля Российский национальный исследовательский университет имени Н.И. Новогодова провел концерт, посвященный 80-летию победы в Великой Отечественной войне.","22 апреля в Российском государственном педагогическом университете состоялся концерт, посвященный 80-летию победы в Великой Отечественной войне."
张晓庆副总领事、俄罗斯国立师范大学校长塔拉索夫、圣彼得堡科学和高等教育委员会主席马克西莫夫、圣彼得堡档案委员会主席季申科及其他国家驻圣市领团代表等出席活动并致辞。,"На мероприятии присутствовали и выступили с речами Заместитель генерального консула г-н Чжан Сяоцин, ректор Российского государственного педагогического университета С.В. Тарасов, председатель Комитета по науке и высшей школе Санкт-Петербурга А.С. Максимов, председатель Архивного комитета Санкт-Петербурга П.Е. Тищенко и представители консульских учреждений других стран в Санкт-Петербурге.","В мероприятии приняли участие и выступили заместитель генерального консула Чжан Сяоцин, президент Российского государственного педагогического университета Тарасов, председатель Санкт-Петербургского совета науки и высшего образования Максимов, председатель Архивного комитета Санкт-Петербурга Тищенко и представители консульских представительств других стран в Санкт-Петербурге.","В мероприятии приняли участие заместитель генерального консула Чжан Сяоцин, ректор Российского государственного педагогического университета Тарасов, председатель Комитета по науке и высшему образованию Санкт-Петербурга Максимов, председатель Архивного комитета Санкт-Петербурга Тищенко, а также представители других стран, аккредитованных в Санкт-Петербурге, которые выступили с приветственными словами.","Вице-консул Чжан Сяоцин, президент Российского государственного педагогического университета, Максимов, председатель Санкт-Петербургской комиссии по научному и высшему образованию, Жишенка, председатель Санкт-Петербургской архивной комиссии и другие представители Государственной администрации в городе приняли участие и выступили на мероприятии."
张副总领事表示，今年是中国人民抗日战争、苏联伟大卫国战争暨世界反法西斯战争胜利80周年。,"Заместитель генерального консула отметил, что в этом году исполняется 80 лет со дня Победы в Войне сопротивления китайского народа японским захватчикам, Победы советского народа в Великой Отечественной войне и Победы в Мировой антифашистской войне.","Заместитель генерального консула Чжан сообщил, что в этом году исполняется 80 лет со дня победы в Войне сопротивления китайского народа японской агрессии, Великой Отечественной войне Советского Союза и Мировой антифашистской войне.","Заместитель консула господин Чжан отметил, что в этом году отмечается 80-летие победы в войне сопротивления Японии китайским народом, Великой Отечественной войны Советского Союза и Второй мировой войны против фашизма.","Вице-консул Чжан заявил, что в этом году будет отмечаться 80-летие войны китайского народа против Японии, Великой Отечественной войны Советского Союза и победы в мировой антифашистской войне."
80年前，中俄两国人民共同抵抗法西斯侵略，为捍卫国家主权和民族尊严、维护世界和平和正义作出了不可磨灭的历史贡献。,"Восемьдесят лет назад народы Китая и России совместно противостояли фашистской агрессии и внесли неоценимый исторический вклад в защиту государственного суверенитета и национального достоинства, в поддержание мира и справедливости на планете.","80 лет назад народы Китая и России совместно противостояли фашистской агрессии и внесли неизгладимый исторический вклад в защиту национального суверенитета и достоинства, а также в защиту мира и справедливости во всем мире.","Восемьдесят лет назад народы Китая и России вместе боролись против фашистской агрессии, внеся неоценимый вклад в защиту суверенитета государств, национального достоинства, а также в поддержание мира и справедливости во всем мире.",Восемьдесят лет назад народы Китая и России боролись против фашистской агрессии и внесли неизгладимый исторический вклад в защиту национального суверенитета и национального достоинства и в поддержание мира и справедливости во всем мире.
